system:index,BAft2acre,Defol17abs,DefolMean,DefolSD,DefolSD3x3,HotSpot,OakDefolMe,OakDefolSD,PropOak,SmplPnt,TYPE_ABREV,YEAR_COMPL,harv,hotplot,latitude,longitude,m_evi_2000_2010_h12_16d,m_evi_2000_2010_h12_full,m_evi_2000_2010_h13_16d,m_evi_2000_2010_h13_full,m_evi_2005_2015_h12_16d,m_evi_2005_2015_h12_full,m_evi_2005_2015_h13_16d,m_evi_2005_2015_h13_full,m_ndvi_2000_2010_h12_16d,m_ndvi_2000_2010_h12_full,m_ndvi_2000_2010_h13_16d,m_ndvi_2000_2010_h13_full,m_ndvi_2005_2015_h12_16d,m_ndvi_2005_2015_h12_full,m_ndvi_2005_2015_h13_16d,m_ndvi_2005_2015_h13_full,m_reanalysis,m_sr_2000_2010_h12_16d,m_sr_2000_2010_h12_full,m_sr_2000_2010_h13_16d,m_sr_2000_2010_h13_full,m_sr_2005_2015_h12_16d,m_sr_2005_2015_h12_full,m_sr_2005_2015_h13_16d,m_sr_2005_2015_h13_full,m_tcg_2000_2010_h12_16d,m_tcg_2000_2010_h12_full,m_tcg_2000_2010_h13_16d,m_tcg_2000_2010_h13_full,m_tcg_2005_2015_h12_16d,m_tcg_2005_2015_h12_full,m_tcg_2005_2015_h13_16d,m_tcg_2005_2015_h13_full,.geo
69,70,-2.62185,1.857142857,1.214985793,0.554707,1,3.5,0.707106781,0.285714286,74,Rm,0,N,1 74,42.31351627,-72.37551834,-1.576135277,-1.596335335,-1.621653463,-1.579618064,-1.266335026,-1.097588591,-1.352554735,-1.15035176,-0.420924545,-0.32571777,-0.510080295,-0.351104442,-0.725615574,-0.606648126,-0.994958697,-0.759790305,-2.621849484,-1.181134152,-1.219203409,-0.994905498,-1.015567051,-1.819668885,-1.738551691,-1.863795407,-1.577677018,-1.619970344,-1.782799624,-1.831001849,-1.820535534,-1.392881662,-1.318471043,-1.635710544,-1.447589456,"{""type"":""Point"",""coordinates"":[-72.3755198148324,42.31350854246975]}"
000000000000000000ce,200,-0.103521,1,0,0.192238,4,NA,NA,0,50,Rm,0,N,4 50,42.41753979,-72.34092605,-0.095820689,0.024049526,0.012744002,0.158566186,-0.613225715,-0.350668132,-0.430233298,-0.309499936,-0.1145468,0.159504088,0.032777327,0.310281513,-0.089165646,0.034154151,-0.103558836,-0.010409287,-0.103520632,0.816852039,0.436092666,0.729829513,0.526437611,-0.185663487,-0.278799933,-0.09758426,-0.170322021,-0.0781512,-0.018559532,0.037075003,0.1298594,-0.919133677,-0.537944727,-0.625587927,-0.444431514,"{""type"":""Point"",""coordinates"":[-72.34092366732715,42.41752970231182]}"
0.00E+00,130,-1.33015,1.769230769,0.832050294,0.521335,4,2.111111111,0.78173596,0.692307692,75,Rm,0,N,4 75,42.4151949,-72.340227,-1.35175595,-1.281377044,-1.317914467,-1.166031014,-1.802907905,-1.27516048,-1.697571501,-1.288701819,-0.966733616,-0.51848915,-1.014561864,-0.514254653,-0.967634514,-0.737438017,-1.149066597,-0.863572437,-1.330147028,-2.061355019,-1.555704343,-1.779438162,-1.321367003,-2.213968842,-1.800818354,-2.19795923,-1.652846614,-1.5155817,-1.498301045,-1.483694876,-1.383208765,-2.112934258,-1.470094951,-1.950513781,-1.457895732,"{""type"":""Point"",""coordinates"":[-72.34022828012282,42.41518776961548]}"
101,120,-0.388421,1.25,0.452267017,0.213984,3,1.6,0.547722558,0.416666667,1,Rm,0,N,3 1,42.37625383,-72.33181333,0.047122227,-0.425845358,0.053189867,-0.476934327,0.24749814,-0.089443384,-0.093714683,-0.225753542,0.099539601,0.081237266,0.094741584,-0.147323351,-0.182872653,-0.114660801,-0.419780001,-0.257297046,-0.388420661,0.573274919,-0.019126974,0.498563633,-0.042312211,-0.391362976,-0.203014123,-0.483849867,-0.153354773,0.204677459,-0.404806458,0.148198329,-0.521426114,0.198594443,-0.022222878,-0.1238385,-0.214799759,"{""type"":""Point"",""coordinates"":[-72.33181076615858,42.37624594867869]}"
102,160,-2.11082,1.625,0.885061203,1.02336,3,2.2,0.836660027,0.3125,2,Rm,0,N,3 2,42.37553535,-72.33092809,-1.723748763,-2.239665742,-1.461615444,-2.049710609,-0.877908028,-1.666191752,-1.168090524,-1.6490253,-0.880998965,-1.107065328,-0.817346847,-1.184217349,-1.139341268,-1.445775283,-1.401803536,-1.50713138,-2.110824161,-1.515950161,-1.56400667,-1.154784782,-1.362252872,-2.375512497,-2.125846134,-2.188528342,-1.836863181,-1.714309503,-2.341438035,-1.556554217,-2.216873959,-1.19993988,-1.935685641,-1.451720753,-1.895848656,"{""type"":""Point"",""coordinates"":[-72.33092754360088,42.375527272340726]}"
103,100,-2.77828,2.2,1.398411798,0.711661,3,2.714285714,1.380131119,0.7,3,Rm,0,N,3 3,42.37546921,-72.33057276,-2.075846041,-2.519744333,-2.11414418,-2.540797133,-1.395687971,-1.899525274,-1.554064853,-1.922428264,-0.776743319,-1.022436991,-1.018711036,-1.269563234,-1.428742212,-1.4364948,-1.785644229,-1.5989075,-2.778276443,-1.2589273,-1.355193365,-1.124215179,-1.235459755,-2.483488832,-1.890310784,-2.470813187,-1.736225229,-2.120125896,-2.664797402,-2.346559381,-2.795850661,-1.755780016,-2.24577931,-1.937033951,-2.268731422,"{""type"":""Point"",""coordinates"":[-72.33056890751458,42.37546051849467]}"
104,150,-0.117896,NA,NA,0.367899,3,3.833333333,0.40824829,0.4,4,Rm,0,N,3 4,42.37553986,-72.33243977,-0.014228425,-0.314512512,-0.011383582,-0.296923765,0.200689884,-0.350926341,-0.05578395,-0.474833673,0.363948187,0.177936829,0.414861195,0.063368499,-0.481072079,-0.453464093,-0.892186243,-0.563182202,-0.117896318,0.809035192,-0.017313112,0.708491141,0.017796987,-1.249115471,-0.622297321,-1.21070908,-0.498556346,0.313354718,-0.177157896,0.281403649,-0.153607251,0.123341668,-0.328073501,-0.118121365,-0.459815701,"{""type"":""Point"",""coordinates"":[-72.33244154712247,42.375529633236354]}"
105,120,-2.90881,3,1.477097892,0.462515,3,3.333333333,1.322875656,0.75,5,Rm,0,N,3 5,42.37514304,-72.33030781,-1.73281973,-2.661802947,-1.921340861,-2.862448047,-1.017126732,-1.942304036,-1.297171458,-2.057788645,-0.712264494,-1.060178443,-0.925649346,-1.338211377,-1.341456632,-1.170033611,-1.732890343,-1.360251096,-2.908809662,-1.345706055,-1.606064406,-1.186087209,-1.48176756,-2.32544371,-1.641563375,-2.366348195,-1.477908513,-1.679964577,-2.740088327,-1.892607183,-2.988523947,-1.390066515,-2.281115683,-1.660977226,-2.416500302,"{""type"":""Point"",""coordinates"":[-72.33030736986619,42.375132403512715]}"
106,140,-2.08329,2.428571429,1.504571787,0.493492,3,3.222222222,1.301708279,0.642857143,6,Rm,0,N,3 6,42.3750769,-72.32995249,-0.83171343,-1.772202419,-1.017322761,-1.781926741,-0.414473751,-1.359551595,-0.768600904,-1.439748504,0.058073735,-0.56795233,-0.105843196,-0.711581262,-0.756447187,-0.731276799,-1.292360001,-0.914047718,-2.083292643,-0.320139814,-0.801344378,-0.319427826,-0.753013271,-1.827546726,-1.141403229,-1.983826019,-1.019624275,-0.741111754,-1.804823046,-0.929833829,-1.896981309,-0.634201117,-1.521183865,-0.969470358,-1.648376326,"{""type"":""Point"",""coordinates"":[-72.32995461564282,42.375066742349276]}"
110,160,-2.31271,3.1875,1.327591805,0.667433,3,3.909090909,0.301511345,0.6875,16,Rm,0,N,3 16,42.37494915,-72.33075351,-1.317635271,-2.071970184,-1.616925698,-1.926764276,-0.664154044,-1.59286101,-1.063499084,-1.70293405,-0.075633953,-0.48672505,-0.272423119,-0.576842942,-1.004325075,-0.880523421,-1.524264909,-1.158052508,-2.312712193,-0.096081382,-0.787252102,-0.147296072,-0.692525673,-1.771218482,-1.08555663,-1.859737055,-1.001692356,-1.295266447,-2.445803048,-1.716609489,-2.427773012,-0.875699756,-1.755868515,-1.265561925,-1.998671679,"{""type"":""Point"",""coordinates"":[-72.33074984596051,42.37493991151534]}"
111,130,-2.09986,2.384615385,1.445594545,0.546329,3,3.571428571,0.786795792,0.538461538,17,Rm,0,N,3 17,42.37442908,-72.33093426,-1.254461887,-1.724930987,-1.497263765,-1.727696073,-0.418556624,-1.252796536,-0.801317596,-1.714277728,-0.465552926,-0.595805923,-0.75714643,-0.693577193,-0.916718912,-0.722267744,-1.465023591,-1.074307043,-2.099855559,-1.042023405,-1.12021581,-0.971115935,-0.965987846,-1.991640222,-1.174388056,-1.892811835,-1.009321764,-1.297917604,-1.92695174,-1.664366158,-1.954398731,-0.730975072,-1.338176035,-1.106188052,-1.798118672,"{""type"":""Point"",""coordinates"":[-72.33093078169759,42.37441930463919]}"
112,150,-2.38148,2.466666667,1.505545305,0.756637,3,2.692307692,1.493575988,0.866666667,18,Rm,0,N,3 18,42.37423519,-72.33137995,-0.698850748,-0.754095659,-0.728765452,-0.761130893,-0.035674021,-0.283020305,-0.499319479,-0.58537651,-0.276789623,-0.056025502,-0.375965344,-0.242738252,-0.365547988,-0.20847195,-0.9640464,-0.534562784,-2.381484713,-0.527078716,-0.542071919,-0.447222875,-0.40814976,-1.414189018,-0.409717411,-1.492470945,-0.449797391,-0.710114095,-0.922120702,-0.766056906,-0.947359475,-0.318650347,-0.312820672,-0.755841477,-0.611652794,"{""type"":""Point"",""coordinates"":[-72.33137913071249,42.37422790499263]}"
113,150,-2.14857,2.466666667,1.505545305,0.430213,3,3.75,0.707106781,0.533333333,19,Rm,0,N,3 19,42.3739045,-72.32960336,-0.44813795,-1.085943913,-0.615022976,-1.113434307,-0.147330338,-0.76518493,-0.460900799,-1.057772934,0.376580366,-0.20051477,0.137090858,-0.357342905,-0.304066898,-0.283255953,-0.687517739,-0.613630129,-2.148568392,-0.349165834,-0.832081033,-0.389718705,-0.684637372,-1.42881083,-0.758907675,-1.319921891,-0.709246349,-0.59799035,-1.282057374,-0.775272847,-1.313474872,-0.495811404,-0.807892156,-0.747450035,-1.116859669,"{""type"":""Point"",""coordinates"":[-72.32960362588081,42.373897415846635]}"
114,140,-1.40368,2.071428571,1.206666464,0.595224,3,2.875,0.991031209,0.571428571,20,Rm,0,N,3 20,42.37430582,-72.33324693,-0.083444663,-0.460930293,-0.21478452,-0.417264819,0.016267684,-0.449040597,-0.41274034,-0.752545349,0.653206301,0.303116253,0.552416546,0.209635617,-0.047362443,0.03987147,-0.624526611,-0.28745567,-1.403684974,0.526257914,-0.242238314,0.409424611,-0.243829322,-1.134190115,-0.152934822,-1.202910226,-0.228867444,-0.078966427,-0.589136701,-0.207184265,-0.533582743,-0.245413468,-0.530289498,-0.618684686,-0.836714486,"{""type"":""Point"",""coordinates"":[-72.33324585871783,42.374295913728645]}"
0000000000000000017d,200,-0.1171,1.1,0.307793506,0.298596,5,NA,NA,0,23,Rm,0,N,5 23,42.35003995,-72.27435758,-0.571039071,-0.131889112,-0.255378137,-0.033834439,-0.325267543,-0.106168595,-0.284419214,-0.067919826,-0.041255244,-0.18942485,0.074815204,-0.152417096,-0.661582913,-0.394582614,-0.633797468,-0.348876336,-0.117099611,0.940753298,-0.144053671,0.82516291,-0.052416609,-0.985801446,-0.529623395,-0.81175885,-0.384178531,-0.536857736,-0.097763383,-0.229617366,0.003687721,-0.489541454,-0.191969573,-0.45960005,-0.150082228,"{""type"":""Point"",""coordinates"":[-72.27435529045353,42.35002969205819]}"
0000000000000000017e,140,-0.922828,2.285714286,1.204387583,0.230704,5,3.5,1,0.285714286,24,Rm,0,N,5 24,42.3490663,-72.27507492,-1.117736624,-0.674187716,-0.755658105,-0.521738486,-1.174455216,-0.939680168,-1.063604066,-0.770024816,-0.139176093,-0.127775577,-0.053658006,-0.11331541,-0.961334419,-0.594843037,-0.924994508,-0.504733418,-0.922827816,0.326649857,-0.236472052,0.335453328,-0.160619912,-1.856537047,-1.186246006,-1.513416176,-0.874898234,-1.233621007,-0.717375788,-0.848453119,-0.556064355,-1.366656362,-1.067720244,-1.29480804,-0.916453066,"{""type"":""Point"",""coordinates"":[-72.27507482131894,42.349059877129434]}"
000000000000000001a3,100,-1.33893,2.4,0.966091783,0.39219,5,2.75,0.707106781,0.8,76,Rm,0,N,5 76,42.3435506,-72.27964315,-1.317298736,-1.03916646,-1.095224779,-0.861977189,-1.291918874,-1.066398928,-1.18565417,-0.981012302,-0.447781945,-0.361833414,-0.316074962,-0.326666922,-1.149290808,-0.930513842,-1.182036022,-0.987278058,-1.338933047,-0.653105959,-1.05958085,-0.458358991,-0.852387972,-2.323655881,-1.925537147,-1.965746721,-1.595381995,-1.164595716,-0.939849931,-0.905798629,-0.730803945,-1.544471191,-1.261601391,-1.408887033,-1.152958208,"{""type"":""Point"",""coordinates"":[-72.27964412256695,42.34354003291763]}"
0000000000000000003a,80,-1.56941,2.625,1.187734939,0.225303,1,3.166666667,0.752772653,0.75,27,Ro,0,N,1 27,42.32184167,-72.37414443,-0.981021186,-0.989682972,-0.825179964,-0.961394729,-1.334512615,-1.206309711,-1.243188317,-1.164666413,-0.599425409,-0.261285159,-0.413146359,-0.180779216,-0.778177769,-0.787234243,-0.892379418,-0.878992237,-1.56940639,-1.216471984,-0.830869265,-0.82696686,-0.663049823,-1.628553677,-1.442678075,-1.527551673,-1.274437415,-1.118824779,-1.027885877,-0.978936739,-1.01349548,-1.698133054,-1.437808539,-1.68109064,-1.480002192,"{""type"":""Point"",""coordinates"":[-72.37414233301642,42.321830774804425]}"
0000000000000000003c,80,-1.13194,1.875,1.246423455,0.224611,1,3.333333333,0.577350269,0.375,29,Ro,0,N,1 29,42.32126753,-72.37850114,-0.647490557,-0.92317755,-0.376146824,-0.640448205,-1.411910634,-1.205657398,-1.194741123,-1.031913614,-0.097993627,-0.28076902,0.064203316,-0.107195196,-0.907276704,-0.818801469,-0.968888387,-0.771544877,-1.131937027,-0.583188748,-0.902742188,-0.2929909,-0.6191536,-1.48321909,-1.118954397,-1.415903932,-0.930155803,-0.787958655,-0.901874931,-0.537654066,-0.657079909,-1.564779179,-1.462411611,-1.471802608,-1.335266284,"{""type"":""Point"",""coordinates"":[-72.3784998974488,42.32125764391042]}"
0000000000000000003e,100,-2.44005,3.2,1.229272594,0.141633,1,3.75,0.46291005,0.8,31,Ro,0,N,1 31,42.3174249,-72.37718719,-1.739669689,-1.937318967,-1.587454826,-1.788202447,-2.401379287,-1.858064132,-2.337776868,-1.834877947,-0.761836349,-0.879181095,-0.74910972,-0.8584201,-1.38133379,-1.106989876,-1.774957346,-1.368926611,-2.440050992,-1.947343687,-1.965495928,-1.512187876,-1.656235437,-2.603838297,-2.130156451,-2.611608463,-1.953329483,-1.99324852,-2.138754396,-1.893562723,-2.049124101,-2.73408698,-2.179741894,-2.842422825,-2.285623626,"{""type"":""Point"",""coordinates"":[-72.37718528059695,42.317418007767266]}"
0000000000000000003f,110,-2.52541,2.818181818,1.250454463,0.226886,1,3.5,0.534522484,0.727272727,32,Ro,0,N,1 32,42.31723086,-72.37763239,-1.743898147,-1.930248805,-1.547714558,-1.680064404,-2.178214174,-1.803699126,-2.227214809,-1.76575153,-0.89766393,-0.862134974,-0.762337776,-0.702930898,-1.293576223,-1.07595278,-1.649157982,-1.244650903,-2.525410912,-1.820785331,-1.818989044,-1.378618195,-1.479313921,-2.421300505,-1.963349628,-2.538482198,-1.832133294,-1.969043944,-2.104414957,-1.89804535,-1.960956413,-2.47596505,-2.069023478,-2.674362961,-2.172083137,"{""type"":""Point"",""coordinates"":[-72.37763462639798,42.31722215988826]}"
40,80,-2.68742,2.5,1.414213562,0.291087,1,3.4,0.894427191,0.625,33,Ro,0,N,1 33,42.31625271,-72.37683755,-2.164087443,-2.213427169,-1.967262468,-2.010122919,-1.926311362,-1.792908649,-1.727856172,-1.618329836,-0.666627055,-0.63181316,-0.605781474,-0.573425817,-1.131254039,-1.06363566,-1.327242377,-1.163845867,-2.687418408,-1.85809957,-1.70937618,-1.570171,-1.46008998,-2.242620622,-2.101377612,-2.299531162,-1.864159649,-2.471210493,-2.55595602,-2.500528732,-2.535886338,-2.196731247,-2.058078043,-2.20019743,-2.042792208,"{""type"":""Point"",""coordinates"":[-72.37683527938188,42.316244593955226]}"
41,100,-2.4588,3.1,1.197219,0.243473,1,3.142857143,1.069044968,0.7,34,Ro,0,N,1 34,42.31639656,-72.38207889,-1.619833869,-1.772148431,-1.77792767,-1.933270201,-1.764434827,-1.384348386,-1.814935625,-1.542861366,-0.599060542,-0.51150421,-0.897517079,-0.803135326,-1.008139586,-0.733507578,-1.358614333,-1.083403795,-2.458803892,-1.820659857,-1.467529245,-1.631103164,-1.371984079,-2.268628574,-1.806587511,-2.354410008,-1.756837805,-2.00210472,-2.161068002,-2.178417205,-2.333484444,-2.079142406,-1.694606802,-2.089216013,-1.854224584,"{""type"":""Point"",""coordinates"":[-72.38207545377608,42.31638965523882]}"
49,120,-0.603363,1.666666667,0.778498944,0.302302,1,1.8,0.788810638,0.833333333,42,Ro,0,N,1 42,42.32300986,-72.37298351,-1.08366468,-1.403947237,-1.028952006,-1.332829235,-0.903569313,-0.905477364,-0.925402622,-0.981236428,-0.458724866,-0.51752234,-0.41471867,-0.475313299,-0.742906449,-0.667353094,-1.084705235,-0.940071585,-0.603362799,-1.239097247,-1.29849273,-0.992950877,-1.098947258,-1.597683592,-1.455150952,-1.558118706,-1.339183226,-1.300626178,-1.63078507,-1.304079271,-1.594400396,-1.103969138,-1.140241974,-1.181715145,-1.278764871,"{""type"":""Point"",""coordinates"":[-72.37297945474974,42.32300233383739]}"
0000000000000000004a,110,-1.09681,2.545454545,1.368476259,0.41871,1,3.125,1.125991626,0.727272727,43,Ro,0,N,1 43,42.32164362,-72.37307916,-1.055567315,-1.125240834,-1.121048007,-1.254918056,-1.286022982,-1.252487565,-1.360418838,-1.281146176,-0.420803423,-0.11751617,-0.369388637,-0.08984921,-0.827572465,-0.78571622,-1.089521412,-0.958314057,-1.096808195,-1.034945575,-0.740716307,-0.839621293,-0.675983351,-1.910398989,-1.855624921,-1.829453966,-1.610604936,-1.136252179,-1.233313418,-1.222495231,-1.381110301,-1.615488311,-1.539621062,-1.82088453,-1.68282864,"{""type"":""Point"",""coordinates"":[-72.37307888346385,42.321633067008506]}"
0000000000000000004b,90,-1.94168,2.111111111,1.269295518,0.215106,1,2.428571429,1.272418021,0.777777778,44,Ro,0,N,1 44,42.32125154,-72.37245912,-1.058240353,-1.328710288,-1.032994111,-1.332165054,-1.272004799,-1.237864156,-1.385120311,-1.287686506,-0.237057391,-0.114878148,-0.188699295,-0.115825019,-0.746158083,-0.813162412,-0.942370929,-0.984565389,-1.941684511,-0.697522154,-0.777959471,-0.485496861,-0.657152561,-1.481197814,-1.4731417,-1.549194884,-1.407722219,-1.296744037,-1.529614598,-1.379717247,-1.675637455,-1.496204679,-1.514765868,-1.73749334,-1.678781715,"{""type"":""Point"",""coordinates"":[-72.37245745927235,42.32124272991302]}"
0000000000000000004c,100,-2.36083,3.6,0.966091783,0.371163,1,3.888888889,0.333333333,0.9,45,Ro,0,N,1 45,42.32059537,-72.37041876,-1.844255791,-1.812862809,-1.756599456,-1.798552216,-1.40401365,-1.382298285,-1.365539136,-1.439973759,-0.889591171,-0.713919461,-0.899140186,-0.803033528,-0.74626685,-0.805314663,-0.943438333,-1.035797652,-2.360830688,-1.959622004,-1.706021752,-1.560294572,-1.440772745,-1.841278852,-1.711737433,-1.791876154,-1.569440245,-2.503388479,-2.220548187,-2.585606448,-2.339779585,-1.998221145,-1.809759955,-2.018502671,-1.93830088,"{""type"":""Point"",""coordinates"":[-72.37042009774865,42.32058911700206]}"
